time,latitude,longitude,Uwind,Vwind
UTC,degrees_north,degrees_east,meter second-1,meter second-1
2025-01-07T10:00:00Z,18.9,-156.13,-2.320139,3.7885096
2025-01-07T10:00:00Z,18.9,-156.07,-2.478602,3.6173756
2025-01-07T10:00:00Z,18.9,-156.01,-2.6857548,3.3898132
2025-01-07T10:00:00Z,18.9,-155.95,-2.9898589,2.9911788
2025-01-07T10:00:00Z,18.9,-155.89,-3.2853658,2.4159458
2025-01-07T10:00:00Z,18.9,-155.83,-3.4293857,1.7077961
2025-01-07T10:00:00Z,18.9,-155.77,-3.3339758,0.8963006
2025-01-07T10:00:00Z,18.9,-155.71,-2.884286,0.08739532
2025-01-07T10:00:00Z,18.9,-155.65,-2.2546937,-0.22877191
2025-01-07T10:00:00Z,18.9,-155.59,-1.8291218,0.064240016
2025-01-07T10:00:00Z,18.9,-155.53,-1.5936371,0.70427865
2025-01-07T10:00:00Z,18.9,-155.47,-1.5076998,1.3701811
2025-01-07T10:00:00Z,18.9,-155.41,-1.4637761,1.7517953
2025-01-07T10:00:00Z,18.9,-155.35,-1.385165,1.8322787
2025-01-07T10:00:00Z,18.9,-155.29,-1.3046802,1.8394284
2025-01-07T10:00:00Z,18.9,-155.23,-1.2488228,1.9088355
2025-01-07T10:00:00Z,18.9,-155.17,-1.1882775,2.079069
2025-01-07T10:00:00Z,18.9,-155.11,-1.1088637,2.3024642
2025-01-07T10:00:00Z,18.9,-155.05,-1.0449947,2.507935
2025-01-07T10:00:00Z,18.9,-154.99,-1.0607101,2.6355166
2025-01-07T10:00:00Z,18.9,-154.93,-1.1242515,2.7141376
2025-01-07T10:00:00Z,18.9,-154.87,-1.2092233,2.776977
2025-01-07T10:00:00Z,18.9,-154.81,-1.3362836,2.8968039
2025-01-07T10:00:00Z,18.9,-154.75,-1.4575342,3.0289068
2025-01-07T10:00:00Z,18.9,-154.69,-1.5531094,3.1636426
2025-01-07T10:00:00Z,18.9,-154.63,-1.6443814,3.270854
2025-01-07T10:00:00Z,18.9,-154.57,-1.7188822,3.3134377
2025-01-07T10:00:00Z,18.9,-154.51,-1.7677897,3.294979
2025-01-07T10:00:00Z,18.955,-156.31,-2.285251,4.4600725
2025-01-07T10:00:00Z,18.955,-156.25,-2.2256362,4.299773
2025-01-07T10:00:00Z,18.955,-156.19,-2.258494,4.1675
2025-01-07T10:00:00Z,18.955,-156.13,-2.385559,4.032986
2025-01-07T10:00:00Z,18.955,-156.07,-2.6343703,3.8168511
2025-01-07T10:00:00Z,18.955,-156.01,-2.9679887,3.476051
2025-01-07T10:00:00Z,18.955,-155.95,-3.39224,2.9203622
2025-01-07T10:00:00Z,18.955,-155.89,-3.7319794,2.2773175
2025-01-07T10:00:00Z,18.955,-155.83,-3.7683415,1.4481511
2025-01-07T10:00:00Z,18.955,-155.77,-3.512715,0.38982993
2025-01-07T10:00:00Z,18.955,-155.71,-2.9142137,-0.6468361
2025-01-07T10:00:00Z,18.955,-155.65,-2.0438519,-1.2150363
2025-01-07T10:00:00Z,18.955,-155.59,-1.4050615,-1.0821773
2025-01-07T10:00:00Z,18.955,-155.53,-1.1286099,-0.51794845
2025-01-07T10:00:00Z,18.955,-155.47,-1.0747261,0.3770822
2025-01-07T10:00:00Z,18.955,-155.41,-1.0570056,1.2126218
2025-01-07T10:00:00Z,18.955,-155.35,-1.0242466,1.6646422
