Date, North (mm), East (mm), Vertical (mm)
2007-07-05,13.29,-10.86,-9.72
2007-07-06,14.33,-10.47,-12.67
2007-07-07,14.53,-11.56,-11.13
2007-07-08,12.65,-11.51,-3.63
2007-07-09,12.44,-10.22,-8.80
2007-07-10,12.82,-10.50,-10.43
2007-07-11,14.18,-10.80,-9.25
2007-07-12,15.43,-10.24,-10.72
2007-07-13,13.78,-10.64,-6.11
2007-07-14,14.58,-10.30,-9.32
2007-07-15,13.61,-9.48,-10.02
2007-07-16,15.03,-11.03,-9.61
2007-07-17,12.67,-11.15,1.73
2007-07-18,14.96,-11.61,-7.86
2007-07-19,13.58,-10.13,-10.92
2007-07-20,14.40,-11.53,-5.09
2007-07-21,14.84,-11.10,-5.20
2007-07-22,14.46,-11.81,-7.17
2007-07-23,15.30,-10.03,-8.02
2007-07-24,15.51,-11.24,-10.67
2007-07-25,15.79,-11.96,-1.45
2007-07-26,14.71,-11.28,-8.34
2007-07-27,15.32,-11.11,-8.37
2007-07-28,15.67,-11.45,-7.33
2007-07-29,15.92,-11.07,-10.12
2007-07-30,14.81,-12.92,-9.15
2007-07-31,16.56,-11.64,-7.98
2007-08-01,14.95,-10.80,-2.62
2007-08-02,15.63,-11.53,-11.00
2007-08-03,15.60,-10.97,-14.18
2007-08-04,14.73,-11.92,-7.67
2007-08-05,15.79,-12.19,-5.74
2007-08-06,16.62,-10.86,-7.41
2007-08-07,15.92,-11.27,-5.04
2007-08-08,15.09,-12.27,-7.15
2007-08-09,15.70,-11.30,-2.33
2007-08-10,15.24,-11.29,-2.74
2007-08-11,14.09,-11.49,-2.94
2007-08-12,14.49,-10.92,-2.67
2007-08-13,15.00,-12.49,-5.70
2007-08-14,16.21,-10.85,-12.17
2007-08-15,15.64,-11.96,-5.74
2007-08-16,15.48,-12.11,0.73
2007-08-17,16.30,-13.21,-4.94
2007-08-18,15.92,-12.56,-8.37
2007-08-19,16.14,-11.93,-5.76
2007-08-20,17.03,-12.74,-6.46
2007-08-21,15.76,-12.07,-3.07
2007-08-22,17.86,-12.20,-11.75
2007-08-23,17.54,-13.00,0.92
2007-08-24,16.16,-11.37,-6.28
2007-08-25,17.32,-11.95,-11.05
2007-08-26,16.86,-11.82,-3.87
2007-08-27,16.79,-12.68,-5.17
2007-08-28,17.09,-11.85,-13.46
